title,artist
Die With A Smile,Lady Gaga & Bruno Mars
A Bar Song (Tipsy),Shaboozey
Birds Of A Feather,Billie Eilish
Lose Control,Teddy Swims
APT.,ROSE & Bruno Mars
That's So True,Gracie Abrams
Luther,Kendrick Lamar & SZA
I Had Some Help,Post Malone Featuring Morgan Wallen
Espresso,Sabrina Carpenter
Taste,Sabrina Carpenter
TV Off,Kendrick Lamar Featuring Lefty Gunplay
Beautiful Things,Benson Boone
Love Somebody,Morgan Wallen
Too Sweet,Hozier
Timeless,The Weeknd & Playboi Carti
Squabble Up,Kendrick Lamar
"Good Luck, Babe!",Chappell Roan
Sticky,"Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne"
Stargazing,Myles Smith
Not Like Us,Kendrick Lamar
Whatchu Kno About Me,GloRilla & Sexyy Red
30 For 30,SZA With Kendrick Lamar
High Road,Koe Wetzel & Jessie Murph
Who,Jimin
Messy,Lola Young
Please Please Please,Sabrina Carpenter
Smile,Morgan Wallen
I Am Not Okay,Jelly Roll
BMF,SZA
Million Dollar Baby,Tommy Richman
Wind Up Missin' You,Tucker Wetmore
Bed Chem,Sabrina Carpenter
Sailor Song,Gigi Perez
Lies Lies Lies,Morgan Wallen
Wildflower,Billie Eilish
Pink Pony Club,Chappell Roan
Like Him,"Tyler, The Creator Featuring Lola Young"
I Never Lie,Zach Top
Liar,Jelly Roll
I'm Gonna Love You,Cody Johnson & Carrie Underwood
Scorsese Baby Daddy,SZA
Tu Boda,Oscar Maydon & Fuerza Regida
"I Love You, I'm Sorry",Gracie Abrams
It's Ok I'm Ok,Tate McRae
4x4xU,Lainey Wilson
No One Noticed,The Marias
Good News,Shaboozey
Indigo,Sam Barber Featuring Avery Anna
Defying Gravity,Cynthia Erivo Featuring Ariana Grande
Loco,Neton Vega
Drive,SZA
Que Pasaria...,Rauw Alejandro & Bad Bunny
Think I'm In Love With You,Chris Stapleton
Guy For That,Post Malone Featuring Luke Combs
Dancing In The Flames,The Weeknd
Hey Now,Kendrick Lamar Featuring Dody6
Help Me,Real Boston Richey
Residuals,Chris Brown
Am I Okay?,Megan Moroney
Diamond Boy (DTM),SZA
I Ain't Sayin',Jordan Davis
What Do I Do,SZA
Heart Of A Woman,Summer Walker
Another Life,SZA
Bad Dreams,Teddy Swims
No Pole,Don Toliver
Empty Out Your Pockets,Juice WRLD
Dos Dias,Tito Double P & Peso Pluma
Close To You,Gracie Abrams
Popular,Ariana Grande
Crybaby,SZA
Wacced Out Murals,Kendrick Lamar
Diet Pepsi,Addison Rae
Apple,Charli xcx
Boys Back Home,Dylan Marlowe & Dylan Scott
25,Rod Wave
Kitchen,SZA
Peekaboo,Kendrick Lamar Featuring AzChike
Burning Down,Alex Warren
Disease,Lady Gaga
Shake Dat Ass (Twerk Song),BossMan Dlow
Gang Baby,NLE Choppa
Khe?,Rauw Alejandro & Romeo Santos
Brokey,Latto
Rosones,Tito Double P
Juno,Sabrina Carpenter
Nadie,Tito Double P
What Is This Feeling?,Ariana Grande & Cynthia Erivo
El Club,Bad Bunny
Dodger Blue,"Kendrick Lamar Featuring Wallie the Sensei, Siete7x & Roddy Ricch"
Pitorro de Coco,Bad Bunny
The Largest,BigXthaPlug
Wondering Why,The Red Clay Strays
Ends Of The Earth,Ty Myers
Chill Baby,SZA
Holy Smokes,Bailey Zimmerman
High Road,Zach Bryan
On One Tonight,Gunna
St. Chroma,"Tyler, The Creator Featuring Daniel Caesar"
Cowboy Songs,George Birge
