title,artist,isHot
Die With A Smile,Lady Gaga & Bruno Mars,Yes
Bad Dreams,Teddy Swims,Yes
Boys Back Home,Dylan Marlowe & Dylan Scott,Yes
Apple,Charli xcx,Yes
Diet Pepsi,Addison Rae,Yes
Wacced Out Murals,Kendrick Lamar,Yes
Crybaby,SZA,Yes
Popular,Ariana Grande,Yes
Close To You,Gracie Abrams,Yes
Dos Dias,Tito Double P & Peso Pluma,Yes
Empty Out Your Pockets,Juice WRLD,Yes
No Pole,Don Toliver,Yes
Another Life,SZA,Yes
Que Pasaria...,Rauw Alejandro & Bad Bunny,Yes
Heart Of A Woman,Summer Walker,Yes
What Do I Do,SZA,Yes
I Ain't Sayin',Jordan Davis,Yes
Diamond Boy (DTM),SZA,Yes
Am I Okay?,Megan Moroney,Yes
Residuals,Chris Brown,Yes
Help Me,Real Boston Richey,Yes
Hey Now,Kendrick Lamar Featuring Dody6,Yes
Dancing In The Flames,The Weeknd,Yes
Guy For That,Post Malone Featuring Luke Combs,Yes
25,Rod Wave,Yes
Kitchen,SZA,Yes
Peekaboo,Kendrick Lamar Featuring AzChike,Yes
Burning Down,Alex Warren,Yes
A Bar Song (Tipsy),Shaboozey,Yes
Cowboy Songs,George Birge,Yes
St. Chroma,"Tyler, The Creator Featuring Daniel Caesar",Yes
On One Tonight,Gunna,Yes
High Road,Zach Bryan,Yes
Holy Smokes,Bailey Zimmerman,Yes
Chill Baby,SZA,Yes
Ends Of The Earth,Ty Myers,Yes
Wondering Why,The Red Clay Strays,Yes
The Largest,BigXthaPlug,Yes
Pitorro de Coco,Bad Bunny,Yes
Dodger Blue,"Kendrick Lamar Featuring Wallie the Sensei, Siete7x & Roddy Ricch",Yes
What Is This Feeling?,Ariana Grande & Cynthia Erivo,Yes
Nadie,Tito Double P,Yes
Juno,Sabrina Carpenter,Yes
Rosones,Tito Double P,Yes
Brokey,Latto,Yes
Khe?,Rauw Alejandro & Romeo Santos,Yes
Gang Baby,NLE Choppa,Yes
Shake Dat Ass (Twerk Song),BossMan Dlow,Yes
Disease,Lady Gaga,Yes
Think I'm In Love With You,Chris Stapleton,Yes
El Club,Bad Bunny,Yes
Drive,SZA,Yes
Too Sweet,Hozier,Yes
Who,Jimin,Yes
30 For 30,SZA With Kendrick Lamar,Yes
Whatchu Kno About Me,GloRilla & Sexyy Red,Yes
Not Like Us,Kendrick Lamar,Yes
Stargazing,Myles Smith,Yes
Sticky,"Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne",Yes
"Good Luck, Babe!",Chappell Roan,Yes
Squabble Up,Kendrick Lamar,Yes
Timeless,The Weeknd & Playboi Carti,Yes
Love Somebody,Morgan Wallen,Yes
Please Please Please,Sabrina Carpenter,Yes
Beautiful Things,Benson Boone,Yes
TV Off,Kendrick Lamar Featuring Lefty Gunplay,Yes
Taste,Sabrina Carpenter,Yes
I Had Some Help,Post Malone Featuring Morgan Wallen,Yes
Luther,Kendrick Lamar & SZA,Yes
That's So True,Gracie Abrams,Yes
APT.,ROSE & Bruno Mars,Yes
Lose Control,Teddy Swims,Yes
Loco,Neton Vega,Yes
Birds Of A Feather,Billie Eilish,Yes
Messy,Lola Young,Yes
Espresso,Sabrina Carpenter,Yes
Smile,Morgan Wallen,Yes
Liar,Jelly Roll,Yes
Indigo,Sam Barber Featuring Avery Anna,Yes
I Am Not Okay,Jelly Roll,Yes
Defying Gravity,Cynthia Erivo Featuring Ariana Grande,Yes
Good News,Shaboozey,Yes
No One Noticed,The Marias,Yes
It's Ok I'm Ok,Tate McRae,Yes
"I Love You, I'm Sorry",Gracie Abrams,Yes
Tu Boda,Oscar Maydon & Fuerza Regida,Yes
Scorsese Baby Daddy,SZA,Yes
I'm Gonna Love You,Cody Johnson & Carrie Underwood,Yes
4x4xU,Lainey Wilson,Yes
I Never Lie,Zach Top,Yes
Lies Lies Lies,Morgan Wallen,Yes
Wind Up Missin' You,Tucker Wetmore,Yes
Bed Chem,Sabrina Carpenter,Yes
Million Dollar Baby,Tommy Richman,Yes
BMF,SZA,Yes
Sailor Song,Gigi Perez,Yes
Wildflower,Billie Eilish,Yes
Pink Pony Club,Chappell Roan,Yes
Like Him,"Tyler, The Creator Featuring Lola Young",Yes
No Safe Place,Pursuit Of Happiness,No
Ballo,Mathey,No
Boss-Eyed Whelk,Johnny Pearson,No
Kablammin' It,Long Beach Dub Allstars,No
Sex (French Version),Elli Kokkinou,No
Le rire du sergent,Bézu,No
It's In The Book (Album Version),Shirley Caesar,No
All My Life (LP Version),Venice,No
The Windsor Tap Recap,Cotton Candy,No
Poultry in the Parlour / Rolling the Ryegrass,Séamus Egan,No
Rock Star,Agnostic Front,No
Rock Me (Live In Boston_ 1970) (1st Show),The Doors,No
De Mi Enamorate,Dyango,No
Beginner's Luck,Frank Chacksfield,No
Killed By Love,Pursuit Of Happiness,No
The Devils Crown,KRS-One,No
Don't Mess With Cupid (1972 demo),New York Dolls,No
911-544,The Revolutionary Ensemble,No
Daydreaming the Color of Blood,Soilent Green,No
My Babe,Lightnin' Slim,No
Knuckle Up,Mykill Miers,No
Life In Line,The Last Days Of Jesus,No
At The Atlantis,Bad Brains,No
10 $ Bill,Les Hurlements D'leo,No
Candilejas,Los Iracundos,No
If A Woman Answers,Leroy Van Dyke,No
Get Together - Album Version,Randy Stonehill,No
ABC (The Alphabet Song),Dora The Explorer,No
All Mama Ever Wanted  (Album),Mark Lowry,No
Where Are You,Abbott & Chambers,No
Warm Embrace (LP Version),Twista & The Speedknot Mobstaz,No
If You Build A Better Mousetrap,Peggy Lee,No
Le poulet,Pierre Perret,No
See You On The Other Side,Ben Sidran,No
Over The Rainbow,David Arkenstone,No
United Blood (Album Version),Agnostic Front,No
Terminus,Photek,No
That's The Way It Is,Sun Yan-Zi,No
1st World Hypocrisy,Brainchoke,No
La Montanara,Maria & Margot Hellwig/Thomas Lehrberger,No
Round and Round ( LP Version ),Prince & Tevin Campbell,No
Smoke! Smoke! Smoke! (That Cigarette),Tex Williams,No
Te Ando Buscando,Los Muñequitos De Matanzas,No
A una mamita,Carlos Embales - Cutumba,No
Wind And Water,Michael Gettel,No
The Universe is in the Oven,Cobra Killer,No
Suar Agung,Megadrums,No
Marie Marie,Wendo Kolosoy,No
Dear Friend,Shunza,No
The Roof Song,Mr Brown,No
Lost,Roger Sanchez,No
Mississippi Boweavil Blues,Charley Patton,No
In The Midnight Hour,Cross Country,No
You Found Me,The Fray,No
Eager (Live),Pete Philly & Perquisite,No
All Your Love,John Mayall & The Bluesbreakers,No
Barsanova Brown (Album Version),Eddie Cano,No
Sur L'autre rive,Annie Blanchard,No
Lachen und weinen,2raumwohnung,No
Come With Me,Tania Maria,No
"Got To Keep On (12"" Version)",Cookie Crew,No
Woman Blue,Alice Stuart,No
Surfriendo El Castigo,Michael Salgado,No
Infantil (Dedicated to John McLaughlin),Gonzalo Rubalcaba,No
It Feels So Good (Album Version),Twista,No
The Never-Ending Why,Placebo,No
Death Adventure,Pumpkin Buzzard,No
Lost Tribe,Moving Ninja,No
Sparrow (Remastered Album Version),Noel Harrison,No
Pretty Vacant,Sex Pistols,No
