name,artist,uri,popularity,album_name,release_date,album_art_url,genres
Boys Back Home,Dylan Marlowe,spotify:track:1hgINxfKQlJOikzd9skvC2,60,Boys Back Home,2023-10-27,https://i.scdn.co/image/ab67616d0000b2732ca83be4457c927a19f93d6c,modern country pop
Apple,Charli xcx,spotify:track:19RybK6XDbAVpcdxSbZL1o,82,BRAT,2024-06-07,https://i.scdn.co/image/ab67616d0000b27388e3822cccfb8f2832c70c2e,"art pop, candy pop, metropopolis, pop, uk pop"
Diet Pepsi,Addison Rae,spotify:track:6MzofobZt2dm0Kf1hTThFz,85,Diet Pepsi,2024-08-09,https://i.scdn.co/image/ab67616d0000b2734e5a5862355a5e953549292b,social media pop
wacced out murals,Kendrick Lamar,spotify:track:5gOfC9UzZQzTyShqPMrpjT,84,GNX,2024-11-22,https://i.scdn.co/image/ab67616d0000b273d9985092cd88bffd97653b58,"conscious hip hop, hip hop, rap, west coast rap"
Crybaby,SZA,spotify:track:1g7pFO1WtclKCuIQiS8sNM,80,SOS Deluxe: LANA,2024-12-20,https://i.scdn.co/image/ab67616d0000b2737f5a318e3ff35defa8d0e4af,"pop, r&b, rap"
Popular,Ariana Grande,spotify:track:3i8fIJNV0yuC4kXT3SkVBZ,84,Wicked: The Soundtrack,2024-11-22,https://i.scdn.co/image/ab67616d0000b27341ded89391c5350f6b8f991c,pop
Close To You,Gracie Abrams,spotify:track:5wbg8kepMFoMzHOEuxiI0q,82,The Secret of Us,2024-06-20,https://i.scdn.co/image/ab67616d0000b2734ba1c73e08db2c003a78e148,alt z
DOS DÍAS,Tito Double P,spotify:track:5lKFO0PrOC9jmOlPEdjHsL,88,INCÓMODO,2024-08-22,https://i.scdn.co/image/ab67616d0000b27347e9618ef7411438f9c9478b,corrido
Empty Out Your Pockets,Juice WRLD,spotify:track:2QxekHjOYDnzNO5w8hu2D9,84,The Party Never Ends 2.0,2024-11-30,https://i.scdn.co/image/ab67616d0000b273c435ae51e1d314f3ecea02a0,"chicago rap, melodic rap, rap"
No Pole,Don Toliver,spotify:track:0eaVIYo2zeOaGJeqZ5TwYz,86,Love Sick (Deluxe),2023-02-28,https://i.scdn.co/image/ab67616d0000b273f5e27c2aa0b110c2b6611577,rap
Another Life,SZA,spotify:track:4tfOoCcYPtb08J5HWlSo3r,80,SOS Deluxe: LANA,2024-12-20,https://i.scdn.co/image/ab67616d0000b2737f5a318e3ff35defa8d0e4af,"pop, r&b, rap"
Qué Pasaría...,Rauw Alejandro,spotify:track:0l0vcZMU7AOeQmUIREoI2U,90,Cosa Nuestra,2024-11-15,https://i.scdn.co/image/ab67616d0000b273ed432d7df981360768dd5856,"puerto rican pop, reggaeton, trap latino, urbano latino"
Heart Of A Woman,Summer Walker,spotify:track:2oVVaVY0LkzwAYYcyzon6Z,73,Heart Of A Woman,2024-10-25,https://i.scdn.co/image/ab67616d0000b2736d53dedc947bc07676d61634,"r&b, rap"
What Do I Do,SZA,spotify:track:6jTQijAuYxOd8DjQ8D6UkL,81,SOS Deluxe: LANA,2024-12-20,https://i.scdn.co/image/ab67616d0000b2737f5a318e3ff35defa8d0e4af,"pop, r&b, rap"
I Ain't Sayin',Jordan Davis,spotify:track:7lCs3stpWCtAn5Y2lmnPhV,73,I Ain't Sayin',2024-07-26,https://i.scdn.co/image/ab67616d0000b27369566a7160a8124914c595aa,contemporary country
Diamond Boy (DTM),SZA,spotify:track:0SCIwbS0Q4etwJmDyNjHaQ,80,SOS Deluxe: LANA,2024-12-20,https://i.scdn.co/image/ab67616d0000b2737f5a318e3ff35defa8d0e4af,"pop, r&b, rap"
Am I Okay?,Megan Moroney,spotify:track:36wAwEkSDpNQ4oQeRLYC3L,75,Am I Okay?,2024-07-12,https://i.scdn.co/image/ab67616d0000b273f4e5bb0413006c1d561baf2a,"contemporary country, modern country pop"
Residuals,Chris Brown,spotify:track:4t4rGgiVX7woTmlnW9SHJ7,70,11:11 (Deluxe),2024-04-11,https://i.scdn.co/image/ab67616d0000b2739c00f8a10b59974bcc9be858,"r&b, rap"
Help Me,Real Boston Richey,spotify:track:487JCvAXVblflZyDJn3fSp,69,Help Me,2024-05-31,https://i.scdn.co/image/ab67616d0000b2735844da6093f9bb6581380063,"florida drill, memphis hip hop"
hey now (feat. dody6),Kendrick Lamar,spotify:track:5S8VwnB4sLi6W0lYTWYylu,84,GNX,2024-11-22,https://i.scdn.co/image/ab67616d0000b273d9985092cd88bffd97653b58,"conscious hip hop, hip hop, rap, west coast rap"
Dancing In The Flames,The Weeknd,spotify:track:7z7kvUQGwlC6iOl7vMuAr9,81,Dancing In The Flames,2024-09-13,https://i.scdn.co/image/ab67616d0000b273f0e9b93cadbeb4d0227a59eb,"canadian contemporary r&b, canadian pop, pop"
Guy For That (Feat. Luke Combs),Post Malone,spotify:track:6StwwqB84sJeLr7tZDTxEX,76,F-1 Trillion,2024-08-15,https://i.scdn.co/image/ab67616d0000b27388208159b1b3c69eefdeb2e0,"dfw rap, melodic rap, pop, rap"
